OpenTDB Trivia Questions — 5248 verified,,,,,,,,
,,,,,,,,
#,Category,Difficulty,Type,Question,Correct Answer,Incorrect 1,Incorrect 2,Incorrect 3
922,History,Medium,Multiple Choice,In what year did William the Conqueror take control of England?,1066,1123,1205,901
923,Mythology,Hard,True / False,"Skaði is the Norse Goddess of skiing, mountains, winter and bowhunting.",True,False,,
924,General Knowledge,Medium,True / False,Only a small percentage of the world's population is lactose intolerant.,False,True,,
925,Science: Mathematics,Medium,Multiple Choice,"In the complex plane, multiplying a given function by i rotates it anti-clockwise by how many degrees?",90,180,270,0
926,Animals,Hard,Multiple Choice,What scientific family does the Aardwolf belong to?,Hyaenidae,Canidae,Felidae,Eupleridae
927,General Knowledge,Medium,True / False,The US emergency hotline is 911 because of the September 11th terrorist attacks.,False,True,,
928,Science & Nature,Medium,Multiple Choice,What medication was once commonly used as rat poison?,Coumadin,Aspirin,Eliquis,Tylenol
929,Entertainment: Music,Medium,True / False,"Pink Guy's debut album was ""Pink Season"".",False,True,,
930,Science & Nature,Hard,Multiple Choice,What was the first organic compound to be synthesized from inorganic compounds?,Urea,Propane,Ethanol,Formaldehyde
931,Geography,Medium,Multiple Choice,What is the capital of Slovakia?,Bratislava,Sofia,Ljubljana,Sarajevo
932,Entertainment: Film,Easy,True / False,"In the original script of ""The Matrix"", the machines used humans as additional computing power instead of batteries.",True,False,,
933,Entertainment: Video Games,Easy,Multiple Choice,"What does the D stand for in D-pad, found on most video game controllers?",Directional,Dynamic,Dial-up,Design
934,Science & Nature,Easy,Multiple Choice,Which gas forms about 78% of the Earth’s atmosphere?,Nitrogen,Oxygen,Argon,Carbon Dioxide
935,History,Easy,Multiple Choice,What was Manfred von Richthofen's nickname?,The Red Baron,The High Flying Ace,The Blue Serpent ,The Germany Gunner
936,Entertainment: Music,Medium,Multiple Choice,Saul Hudson (Slash) of the band Guns N' Roses is known for playing what type of guitar?,Les Paul Standard,Fender Stratocaster,LsL Mongrel,Gretsch Falcon
937,Entertainment: Video Games,Easy,Multiple Choice,"In the Half-Life series, Gordon Freeman's signature weapon is a:",Crowbar,Sledgehammer,Fiber Wire,Katana
938,Politics,Easy,Multiple Choice,The largest consumer market in 2015 was...,The United States of America,Germany,Japan,United Kingdom
939,Science: Computers,Easy,True / False,Pointers were not used in the original C programming language; they were added later on in C++.,False,True,,
940,Entertainment: Books,Medium,Multiple Choice,"According to The Hitchhiker's Guide to the Galaxy book, the answer to life, the universe and everything else is...",42,Loving everyone around you,Chocolate,Death
941,Entertainment: Video Games,Medium,Multiple Choice,"The protagonist in the game ""Cave Story"" is named",Quote,Kazuma,Curly,Arthur
942,Entertainment: Video Games,Medium,Multiple Choice,"Which Crypt of the NecroDancer (2015) character has a soundtrack by Jake ""Virt"" Kaufman?",Uncle Eli,Cadence,Nocturna,Octavian (Bard)
943,Entertainment: Video Games,Hard,Multiple Choice,"In the video game ""Metal Gear Solid"", what did Revolver Ocelot consider the greatest handgun ever made?",Colt Single Action Army,Colt Python,Colt M1892,Colt 1851 Navy Revolver
944,Science: Computers,Hard,Multiple Choice,"Lenovo acquired IBM's personal computer division, including the ThinkPad line of laptops and tablets, in what year?",2005,1999,2002,2008
945,Animals,Easy,True / False,Rabbits are rodents.,False,True,,
946,Entertainment: Music,Medium,Multiple Choice,For which civil rights activist did Stevie Wonder write the song 'Happy Birthday' in 1980?,Martin Luther King Jr,Rosa Parks,Nelson Mandella,Booker T. Washington
947,Science & Nature,Medium,Multiple Choice,How many degrees Fahrenheit is 100 degrees Celsius? ,212,326,100,451
948,Entertainment: Video Games,Medium,Multiple Choice,"What is the final game of the ""Zero Escape"" series called?",Zero Escape Zero Time Dilemma ,"Nine Hours, Nine Persons, Nine Doors ",Zero Escape Virtue's Last Reward,The Nonary Game: Sigma's Last Life
949,General Knowledge,Easy,Multiple Choice,Which of the following is not an Ivy League University?,Stanford,University of Pennsylvania,Harvard,Princeton
950,General Knowledge,Medium,Multiple Choice,What is the real name of viral internet meme Grumpy Cat?,Tardar Sauce,Lil Bub,Maru,Colonel Meow
951,Science: Computers,Medium,True / False,It's not possible to format a write-protected DVD-R Hard Disk.,True,False,,
952,Entertainment: Music,Medium,Multiple Choice,"Which artist curated the official soundtrack for ""The Hunger Games: Mockingjay - Part 1""?",Lorde,Kanye West,Tove Lo,Charli XCX
953,Geography,Medium,Multiple Choice,What is the capital of Cyprus?,Nicosia,Paphos,Limassol,Larnaca
954,Entertainment: Video Games,Medium,Multiple Choice,"Excluding their instructor, how many members of Class VII are there in the game ""Legend of Heroes: Trails of Cold Steel""?",9,6,10,3
955,Entertainment: Film,Easy,Multiple Choice,"Who plays Jack Burton in the movie ""Big Trouble in Little China?""",Kurt Russell,Patrick Swayze,John Cusack,Harrison Ford
956,Art,Hard,Multiple Choice,Which of these is not an additional variation of the color purple?,Kobicha,Byzantium,Pomp and Power,Palatinate
957,Entertainment: Comics,Medium,Multiple Choice,What's the weakness of american vampires (Scott Snyder's American Vampire)?,Gold,Sunlight,Wood,Silver
958,General Knowledge,Medium,True / False,The scientific name for the Southern Lights is Aurora Australis?,True,False,,
959,Entertainment: Television,Medium,Multiple Choice,"Out of the 3 Tots in Tots TV, who speaks French in the UK Version and Spanish in the US Version?",Tilly,Tom,Tiny,None of the Above
960,Sports,Hard,Multiple Choice,What team did England beat in the semi-final stage to win in the 1966 World Cup final?,Portugal,West Germany,Soviet Union,Brazil
961,Entertainment: Video Games,Medium,True / False,"During pre-production of ""Super Mario Bros."", Mario originally was meant to shoot bullets.",True,False,,
962,Entertainment: Film,Medium,Multiple Choice,"Peter Jackson's film series ""The Lord of the Rings"" was shot entirely in which country?",New Zealand,Scotland,Canada,Iceland
963,Entertainment: Film,Easy,Multiple Choice,What historical time period was the center of the Assassin’s Creed movie (2016)?,Spanish Inquisition,Victorian England,French Revolution,Colonial America
964,Entertainment: Video Games,Medium,Multiple Choice,"What is the name of the protagonist's first Persona in ""Persona 5""?",Arsene,Mara,Izanagi,Sandaphlon
965,Entertainment: Video Games,Medium,Multiple Choice,"In the game Minecraft, how many iron ingots are required to make an iron golem?",36,40,32,46
966,Entertainment: Music,Medium,Multiple Choice,"In 2015, David Hasselhof released a single called...",True Survivor,True Fighter,Real Kung-Fury,Real Warrior
967,Science & Nature,Medium,Multiple Choice,What are the smallest blood vessels in the human body?,Capillaries,Arterioles,Veinules,Lymphatics
968,Entertainment: Television,Easy,Multiple Choice,"In Two and a Half Men, what is Alan Harper's son's name?",Jake,John,Jeremy,James
969,Science: Computers,Medium,Multiple Choice,"Generally, which component of a computer draws the most power?",Video Card,Hard Drive,Processor,Power Supply
970,History,Medium,Multiple Choice,The Panama Canal was finished under the administration of which U.S. president?,Woodrow Wilson,Franklin Delano Roosevelt,Herbert Hoover,Theodore Roosevelt
971,History,Medium,Multiple Choice,Who tutored Alexander the Great?,Aristotle,Socrates,Plato,King Philip
972,Entertainment: Music,Medium,Multiple Choice,"Where did the British Boy Band ""Bros"" come from?",Camberley,Guildford,Aldershot,Bagshot
973,Celebrities,Medium,Multiple Choice,In which of these TV shows did the chef Gordon Ramsay not appear?,Auction Hunters,Ramsay's Kitchen Nightmares,Hotel Hell,Hell's Kitchen
974,Science & Nature,Medium,Multiple Choice,Tetsuya Fujita was a scientist that developed the scale for which natural disaster?,Tornadoes,Hurricanes,Earthquakes,Volcanoes
975,Entertainment: Video Games,Hard,Multiple Choice,"In 2004, which person(s) created ""Roblox""?",David Baszucki and Erik Cassel,Erik Cassel,Jonas Alto and Sarah Smith,James Kolein
976,Entertainment: Video Games,Hard,Multiple Choice,When was Pokemon GO released in North America?,"July 6th, 2016","June 5th, 2016","May 24th, 2016","January 2nd, 2017"
977,Entertainment: Music,Easy,Multiple Choice,When was Gangnam Style uploaded to YouTube?,2012,2013,2014,2011
978,Animals,Medium,Multiple Choice,What is the collective noun for rats?,Mischief,Pack,Race,Drift
979,Animals,Medium,True / False,Tigers have one colour of skin despite the stripey fur.,False,True,,
980,Entertainment: Cartoon & Animations,Easy,Multiple Choice,"Which of these is NOT a catchphrase used by Rick Sanchez in the TV show ""Rick and Morty""?","Slam dunk, nothing but net!","Hit the sack, Jack!","Rikki-Tikki-Tavi, biatch!",Wubba-lubba-dub-dub!
981,Entertainment: Video Games,Easy,Multiple Choice,"What year did the game ""Overwatch"" enter closed beta?",2015,2013,2011,2016
982,Entertainment: Music,Medium,True / False,"The band, HEALTH, is called HEALTH because they wanted to choose an everyday word for the band name.",True,False,,
983,Entertainment: Film,Medium,Multiple Choice,Leonardo Di Caprio won his first Best Actor Oscar for his performance in which film?,The Revenant,The Wolf Of Wall Street,Shutter Island,Inception
984,History,Medium,True / False,Martin Luther King Jr. and Anne Frank were born the same year. ,True,False,,
985,Entertainment: Video Games,Medium,Multiple Choice,How many stars are there to collect in Super Mario 64?,120,60,80,100
986,Entertainment: Music,Easy,Multiple Choice,"What is the name of Death Grips Front Man, MC Ride?",Stefan Burnett,Zach Hill,Andy Morin,Stanley Burrell
987,Entertainment: Video Games,Easy,Multiple Choice,How many playable characters are there in Yakuza 5?,5,2,3,1
988,Entertainment: Board Games,Easy,Multiple Choice,"In board games, an additional or ammended rule that applies to a certain group or place is informally known as a ""what"" rule?",House,Custom,Extra,Change
989,History,Easy,Multiple Choice,What was the name commonly given to the ancient trade routes that connected the East and West of Eurasia?,Silk Road,Spice Road,Clay Road,Salt Road
990,Geography,Easy,Multiple Choice,What is the Polish city known to Germans as Danzig?,Gdańsk,Warsaw,Zakopane,Poznań
991,Entertainment: Video Games,Medium,Multiple Choice,"Who is the villain company in ""Stardew Valley""?",Joja Co ,Ronin,Empire,Robotnik Industry's 
992,Entertainment: Video Games,Easy,Multiple Choice,Which Grand Theft Auto (GTA) games have the same setting?,GTA V and GTA San Andreas,GTA V and GTA Vice City,GTA IV and GTA San Andreas,GTA IV and GTA Vice City
993,Geography,Medium,Multiple Choice,What is the capital of Seychelles?,Victoria,Luanda,N'Djamena,Tripoli
994,Entertainment: Film,Medium,Multiple Choice,"What is the name of the Artificial Intelligence system in the 1983 film, ""WarGames""?",War Operation Plan Response,Self Evolving Thought Helix,Master Control Program,West Campus Analog Computer
995,Sports,Easy,Multiple Choice,How many players are there in an association football/soccer team?,11,10,9,8
996,Sports,Medium,Multiple Choice,How many premier league trophies did Sir Alex Ferguson win during his time at Manchester United?,13,11,20,22
997,Mythology,Medium,Multiple Choice,"According to Japanese folklore, what is the favorite food of the Kappa.",Cucumbers,Kabocha,Nasu,Soba
998,Entertainment: Video Games,Medium,Multiple Choice,What American city was featured in the 1999 PC game Midtown Madness?,Chicago,Washington D.C.,San Francisco,New York City
999,Entertainment: Cartoon & Animations,Medium,Multiple Choice,Which Hanna-Barbera cartoon character travelled with a canine companion named Beegle Beagle?,Grape Ape,Boss Gator,Wally Gator,Yogi Bear
1000,General Knowledge,Hard,Multiple Choice,"What is the romanized Korean word for ""heart""?",Simjang,Aejeong,Jeongsin,Segseu
1001,Entertainment: Television,Easy,Multiple Choice,"What is the name of the planet that the Doctor from television series ""Doctor Who"" comes from?",Gallifrey,Sontar,Skaro,Mondas
1002,Entertainment: Musicals & Theatres,Medium,Multiple Choice,"The World Chess Championship in Chess, Act 1 is set in which Italian city?",Merano,Venice,Milan,Rome
1003,Entertainment: Music,Medium,True / False,"The band ""Panic! At the Disco"" has released 4 albums total",False,True,,
1004,Entertainment: Video Games,Medium,Multiple Choice,In what year were achivements added to Steam?,2007,2008,2009,2006
1005,Entertainment: Video Games,Easy,Multiple Choice,Which of the following characters is NOT a female marriage candidate in the game Stardew Valley?,Caroline,Abigail,Haley,Leah
1006,History,Easy,True / False,"In World War ll, Great Britian used inflatable tanks on the ports of Great Britain to divert Hitler away from Normandy/D-day landing.",True,False,,
1007,General Knowledge,Easy,Multiple Choice,"What type of animal was Harambe, who was shot after a child fell into it's enclosure at the Cincinnati Zoo?",Gorilla,Tiger,Panda,Crocodile
1008,Sports,Hard,Multiple Choice,"Prior to 2018, which car company is the only Japanese company which won the 24 Hours of Le Mans?",Mazda,Toyota,Subaru,Nissan
1009,Entertainment: Comics,Medium,Multiple Choice,"In Marvel comics, which of the following is not one of the infinity stones?",Energy,Time,Power,Soul
1010,General Knowledge,Easy,Multiple Choice,Which is the capital of Spain?,Madrid,Paris,Barcelona,Lisboa
1011,Entertainment: Film,Medium,Multiple Choice,Who plays the Nemesis in the Resident Evil movies?,Matthew Taylor,Jason Dip,Eric Mabius,Jimmy Matts
1012,Science: Computers,Medium,True / False,"There is only 1 root name server, among 13 in total, that is currently located in Asia.",True,False,,
1013,Entertainment: Film,Easy,Multiple Choice,"Who directed the 2017 movie ""The Shape of Water""?",Guillermo del Toro,Steven Spielberg,James Cameron,Martin Scorsese
1014,Entertainment: Video Games,Medium,Multiple Choice,Who was the first jedi that Starkiller had to kill in Star Wars: The Force Unleashed?,Rahm Kota,Ahsoka Tano,Kazdan Paratus,Kento Marek
1015,Entertainment: Video Games,Easy,Multiple Choice,The “fairy” type made it’s debut in which generation of the Pokemon core series games?,6th,2nd,7th,4th
